                 fname   pred
0   TestSetImage12.png   Alex
1   TestSetImage06.png   Alex
2   TestSetImage11.png  Kelly
3   TestSetImage01.png   Alex
4   TestSetImage14.png   Alex
5   TestSetImage10.png  Kelly
6   TestSetImage13.png  Kelly
7   TestSetImage02.png  Kelly
8   TestSetImage05.png   Alex
9   TestSetImage18.png  Kelly
10  TestSetImage09.png   Alex
11  TestSetImage19.png   Alex
12  TestSetImage16.png  Kelly
13  TestSetImage08.png  Kelly
14  TestSetImage04.png  Kelly
15  TestSetImage07.png  Kelly
16  TestSetImage17.png   Alex
17  TestSetImage15.png  Kelly
18  TestSetImage20.png   Alex
19  TestSetImage03.png   Alex
